Metal,Date,Position
Aluminum,01/05/2025,250
Aluminum,05/05/2025,300
Aluminum,10/05/2025,-150
Aluminum,15/05/2025,-200
Aluminum,20/05/2025,100
Aluminum,25/05/2025,50
Aluminum,30/05/2025,-175
Aluminum,05/06/2025,325
Aluminum,10/06/2025,225
Aluminum,15/06/2025,-175
Aluminum,20/06/2025,-100
Aluminum,25/06/2025,250
Aluminum,30/06/2025,150
Aluminum,05/07/2025,-200
Aluminum,10/07/2025,-175
Aluminum,15/07/2025,300
Aluminum,20/07/2025,250
Aluminum,30/07/2025,-150
Copper,01/05/2025,150
Copper,05/05/2025,175
Copper,10/05/2025,-175
Copper,15/05/2025,-100
Copper,20/05/2025,225
Copper,25/05/2025,150
Copper,30/05/2025,-125
Copper,05/06/2025,100
Copper,10/06/2025,175
Copper,15/06/2025,-150
Copper,20/06/2025,-125
Copper,25/06/2025,200
Copper,30/06/2025,150
Copper,05/07/2025,-175
Copper,10/07/2025,-100
Copper,15/07/2025,225
Copper,20/07/2025,175
Copper,30/07/2025,-125
Zinc,01/05/2025,125
Zinc,05/05/2025,150
Zinc,10/05/2025,-175
Zinc,15/05/2025,-125
Zinc,20/05/2025,100
Zinc,25/05/2025,125
Zinc,30/05/2025,-150
Zinc,05/06/2025,125
Zinc,10/06/2025,-125
Zinc,15/06/2025,75
Zinc,20/06/2025,-50
Zinc,25/06/2025,225
Zinc,30/06/2025,-125
Zinc,05/07/2025,-100
Zinc,10/07/2025,-150
Zinc,15/07/2025,175
Zinc,20/07/2025,125
Zinc,30/07/2025,-175
Nickel,01/05/2025,75
Nickel,05/05/2025,100
Nickel,10/05/2025,-50
Nickel,15/05/2025,-75
Nickel,20/05/2025,125
Nickel,25/05/2025,50
Nickel,30/05/2025,-100
Nickel,05/06/2025,75
Nickel,10/06/2025,100
Nickel,15/06/2025,-50
Nickel,20/06/2025,-75
Nickel,25/06/2025,125
Nickel,30/06/2025,50
Nickel,05/07/2025,-100
Nickel,10/07/2025,-75
Nickel,15/07/2025,100
Nickel,20/07/2025,75
Nickel,30/07/2025,-100
Lead,01/05/2025,50
Lead,05/05/2025,75
Lead,10/05/2025,-25
Lead,15/05/2025,-50
Lead,20/05/2025,100
Lead,25/05/2025,50
Lead,30/05/2025,-75
Lead,05/06/2025,50
Lead,10/06/2025,75
Lead,15/06/2025,-25
Lead,20/06/2025,-50
Lead,25/06/2025,100
Lead,30/06/2025,50
Lead,05/07/2025,-75
Lead,10/07/2025,-50
Lead,15/07/2025,75
Lead,20/07/2025,50
Lead,30/07/2025,-75
Tin,01/05/2025,25
Tin,05/05/2025,50
Tin,10/05/2025,-15
Tin,15/05/2025,-30
Tin,20/05/2025,60
Tin,25/05/2025,25
Tin,30/05/2025,-40
Tin,05/06/2025,25
Tin,10/06/2025,50
Tin,15/06/2025,-15
Tin,20/06/2025,-30
Tin,25/06/2025,60
Tin,30/06/2025,25
Tin,05/07/2025,-40
Tin,10/07/2025,-25
Tin,15/07/2025,50
Tin,20/07/2025,25
Tin,30/07/2025,-40 
