Metal,Date,Position
Zinc,01/05/2025,100
Zinc,04/05/2025,-50
Zinc,07/05/2025,-100
Zinc,10/05/2025,-200
Zinc,15/05/2025,50
Zinc,20/05/2025,100
Zinc,25/05/2025,200
Zinc,30/05/2025,-150
Zinc,05/06/2025,100
Zinc,10/06/2025,-100
Zinc,15/06/2025,50
Zinc,20/06/2025,-50
Zinc,25/06/2025,200
Zinc,30/06/2025,-100
Aluminum,01/05/2025,200
Aluminum,10/05/2025,-100
Aluminum,15/05/2025,-200
Aluminum,20/05/2025,100
Aluminum,30/05/2025,-150
Aluminum,05/06/2025,300
Aluminum,15/06/2025,-150
Aluminum,25/06/2025,200
Copper,01/05/2025,100
Copper,10/05/2025,-150
Copper,20/05/2025,200
Copper,30/05/2025,-100
Copper,10/06/2025,150
Copper,20/06/2025,-100
Copper,30/06/2025,100 
